,US Equity - Large Cap,US Equity - Small/Mid Cap,Non-US Equity - Developed,Non-US Equity - Emerging,US Corporate Bonds - Core,US Corporate Bonds - Long Duration,US Corporate Bonds - High Yield,Non-US Debt - Developed,Non-US Debt - Emerging,US Treasuries (Cash Equivalents),TIPS (Inflation-Protected),Real Estate,Hedge Funds,Commodities,Infrastructure,Private Equity,Private Debt
US Equity - Large Cap,1,,,,,,,,,,,,,,,,
US Equity - Small/Mid Cap,0.9,1,,,,,,,,,,,,,,,
Non-US Equity - Developed,0.82,0.77,1,,,,,,,,,,,,,,
Non-US Equity - Emerging,0.72,0.7,0.8,1,,,,,,,,,,,,,
US Corporate Bonds - Core,0.19,0.15,0.2,0.18,1,,,,,,,,,,,,
US Corporate Bonds - Long Duration,0.18,0.13,0.18,0.15,0.86,1,,,,,,,,,,,
US Corporate Bonds - High Yield,0.63,0.63,0.62,0.62,0.43,0.36,1,,,,,,,,,,
Non-US Debt - Developed,0.15,0.1,0.3,0.26,0.55,0.51,0.24,1,,,,,,,,,
Non-US Debt - Emerging,0.48,0.45,0.52,0.61,0.49,0.43,0.6,0.41,1,,,,,,,,
US Treasuries (Cash Equivalents),-0.06,-0.06,-0.04,-0.03,0.12,0.09,-0.1,0.16,0.01,1,,,,,,,
TIPS (Inflation-Protected),0.05,0.02,0.07,0.12,0.66,0.59,0.27,0.47,0.35,0.13,1,,,,,,
Real Estate,0.6,0.62,0.55,0.49,0.28,0.26,0.52,0.24,0.43,-0.01,0.19,1,,,,,
Hedge Funds,0.68,0.68,0.68,0.65,0.22,0.17,0.59,0.19,0.48,-0.01,0.12,0.45,1,,,,
Commodities,0.34,0.34,0.42,0.44,0.08,0.02,0.38,0.21,0.33,0.02,0.18,0.25,0.4,1,,,
Infrastructure,0.62,0.59,0.65,0.58,0.29,0.32,0.56,0.32,0.5,-0.03,0.19,0.5,0.52,0.41,1,,
Private Equity,0.74,0.74,0.69,0.61,0.1,0.1,0.51,0.11,0.38,-0.03,0.01,0.5,0.59,0.33,0.54,1,
Private Debt,0.54,0.55,0.54,0.52,0.26,0.29,0.71,0.15,0.44,-0.04,0.11,0.46,0.56,0.37,0.5,0.54,1
